gender,height_cm,weight_kg,body_fat_pct,chest_cm,waist_cm,shoulders_cm,arms_cm,forearms_cm,neck_cm,thighs_cm,calves_cm,hips_cm,ratio_shoulder_to_waist,ratio_chest_to_waist,ratio_hip_to_waist,ratio_thigh_to_waist,ratio_calf_to_thigh,ratio_arm_to_neck,ratio_forearm_to_arm,target_focus
female,165.1,69.2,21.1,104.5,69.4,114.9,27.3,25.0,34.8,62.9,32.1,108.6,1.6556,1.5058,1.5648,0.9063,0.5103,0.7845,0.9158,arms
male,180.4,78.4,18.2,95.8,80.9,131.7,30.0,25.2,42.8,61.7,27.765,92.8,1.6279,1.1842,1.1471,0.7627,0.45,0.7009,0.84,arms
male,173.4,84.0,7.4,105.5,86.9,117.5,32.4,25.3,40.2,51.0,38.0,110.5,1.3521,1.214,1.2716,0.5869,0.7451,0.806,0.7809,legs
female,156.0,59.1,28.5,89.5,62.8,106.7,28.0,27.8,32.4,63.0,30.6,91.8,1.699,1.4252,1.4618,1.0032,0.4857,0.8642,0.9929,calves
male,185.6,68.6,18.1,88.9,82.4,124.7,32.3,27.3,34.6,54.1,43.0,96.5,1.5133,1.0789,1.1711,0.6566,0.7948,0.9335,0.8452,chest
male,175.8,59.6,11.9,110.9,82.7,133.1,33.6,27.9,39.9,42.0,36.8,95.7,1.6094,1.341,1.1572,0.5079,0.8762,0.8421,0.8304,legs
male,184.8,66.1,25.5,97.9,75.9,119.6,29.25,32.6,39.0,59.2,39.6,103.7,1.5758,1.2899,1.3663,0.78,0.6689,0.75,1.1145,arms
male,187.9,90.5,19.0,109.9,83.2,118.3,40.9,32.9,38.0,55.3,41.9,101.6,1.4219,1.3209,1.2212,0.6647,0.7577,1.0763,0.8044,shoulders
female,163.1,68.6,25.9,85.3,75.0,105.9,26.7,25.3,36.2,61.8,27.81,106.0,1.412,1.1373,1.4133,0.824,0.45,0.7376,0.9476,arms
male,169.3,91.4,18.9,120.7,97.1,123.7,35.0,28.5,35.0,47.6,32.5,95.7,1.2739,1.243,0.9856,0.4902,0.6828,1.0,0.8143,legs
female,161.7,62.3,24.7,85.4,71.3,116.1,30.3,21.6,32.8,55.8,32.3,93.8,1.6283,1.1978,1.3156,0.7826,0.5789,0.9238,0.7129,chest
male,175.1,66.7,17.7,100.9,66.2,117.7,37.5,29.4,44.7,65.5,41.8,115.6,1.7779,1.5242,1.7462,0.9894,0.6382,0.8389,0.784,arms
female,166.0,75.7,22.6,90.8,68.8,106.8,25.7,21.3,34.0,55.2,28.3,88.4,1.5523,1.3198,1.2849,0.8023,0.5127,0.7559,0.8288,arms
female,159.7,69.6,27.3,97.5,80.0,111.5,30.1,23.5,35.7,61.5,36.3,110.2,1.3938,1.2188,1.3775,0.7688,0.5902,0.8431,0.7807,arms
female,163.3,61.6,32.9,101.0,62.4,113.9,23.9,20.1,32.4,54.1,29.5,105.2,1.8253,1.6186,1.6859,0.867,0.5453,0.7377,0.841,arms
female,171.3,60.2,25.8,89.8,87.5,84.2,24.7,23.0,30.3,54.5,24.525000000000002,94.7,0.9623,1.0263,1.0823,0.6229,0.45,0.8152,0.9312,shoulders
female,168.8,62.4,23.3,88.8,73.9,91.8,29.6,21.9,36.2,59.5,39.1,91.9,1.2422,1.2016,1.2436,0.8051,0.6571,0.8177,0.7399,shoulders
female,157.5,57.2,33.5,100.4,64.8,100.8,21.450000000000003,24.5,28.6,46.4,36.7,84.4,1.5556,1.5494,1.3025,0.716,0.7909,0.75,1.1422,arms
male,179.1,87.8,17.1,97.1,91.6,120.3,31.4,28.1,39.1,68.3,39.1,104.5,1.3133,1.06,1.1408,0.7456,0.5725,0.8031,0.8949,chest
male,174.3,78.7,17.1,91.9,95.4,125.1,32.8,29.9,38.7,62.3,30.6,95.0,1.3113,0.9633,0.9958,0.653,0.4912,0.8475,0.9116,chest
female,168.7,58.1,11.0,82.4,73.5,104.4,33.9,24.5,33.2,55.8,38.9,95.3,1.4204,1.1211,1.2966,0.7592,0.6971,1.0211,0.7227,chest
male,170.4,101.9,20.4,94.3,83.0,122.1,33.0,26.4,36.0,60.0,34.6,92.8,1.4711,1.1361,1.1181,0.7229,0.5767,0.9167,0.8,chest
male,178.5,79.5,16.1,101.6,90.7,123.6,36.2,27.3,36.3,51.7,23.265,96.1,1.3627,1.1202,1.0595,0.57,0.45,0.9972,0.7541,calves
female,165.6,54.4,16.0,95.7,70.2,98.1,24.2,24.1,36.4,53.6,34.2,108.6,1.3974,1.3632,1.547,0.7635,0.6381,0.6648,0.9959,arms
male,191.8,116.2,5.0,99.2,77.5,115.9,32.3,30.4,37.7,52.5,35.3,99.6,1.4955,1.28,1.2852,0.6774,0.6724,0.8568,0.9412,arms
male,166.5,109.9,14.1,98.9,80.4,122.4,41.1,29.7,33.4,49.7,34.4,94.1,1.5224,1.2301,1.1704,0.6182,0.6922,1.2305,0.7226,legs
female,169.9,53.1,35.0,102.7,72.0,107.1,23.7,24.6,31.8,49.5,34.0,96.3,1.4875,1.4264,1.3375,0.6875,0.6869,0.7453,1.038,arms
male,184.6,71.0,28.4,89.4,98.5,109.9,34.0,26.5,37.0,62.8,42.0,104.3,1.1157,0.9076,1.0589,0.6376,0.6688,0.9189,0.7794,chest
male,179.3,71.1,12.1,90.8,80.1,120.0,31.875,27.9,42.5,64.7,33.7,86.2,1.4981,1.1336,1.0762,0.8077,0.5209,0.75,0.8753,arms
female,151.1,77.2,24.7,102.8,60.2,110.4,27.6,22.2,29.6,59.6,26.82,114.3,1.8339,1.7076,1.8987,0.99,0.45,0.9324,0.8043,calves
male,173.8,67.9,9.8,111.8,77.0,129.8,36.1,29.0,37.1,62.0,35.9,93.4,1.6857,1.4519,1.213,0.8052,0.579,0.973,0.8033,calves
male,177.0,70.8,21.6,99.5,88.4,114.4,29.2,33.2,42.6,63.3,34.4,93.9,1.2941,1.1256,1.0622,0.7161,0.5434,0.6854,1.137,arms
male,175.5,73.1,29.2,99.6,99.9,106.8,36.1,34.2,38.1,56.4,31.3,103.6,1.0691,0.997,1.037,0.5646,0.555,0.9475,0.9474,shoulders
male,177.3,64.7,27.3,109.2,83.7,108.8,40.1,26.9,34.7,47.4,33.4,85.8,1.2999,1.3047,1.0251,0.5663,0.7046,1.1556,0.6708,legs
female,169.5,60.9,28.1,84.9,74.5,117.4,26.8,24.0,29.1,65.1,33.3,108.4,1.5758,1.1396,1.455,0.8738,0.5115,0.921,0.8955,chest
female,168.7,72.4,23.3,97.6,67.9,109.4,26.6,23.9,31.8,56.3,31.2,102.0,1.6112,1.4374,1.5022,0.8292,0.5542,0.8365,0.8985,arms
female,161.8,64.4,26.8,85.7,73.0,97.0,36.2,25.6,33.7,63.0,28.35,79.5,1.3288,1.174,1.089,0.863,0.45,1.0742,0.7072,calves
male,168.4,78.7,19.2,107.4,73.8,121.2,34.1,29.0,36.4,66.3,35.6,108.4,1.6423,1.4553,1.4688,0.8984,0.537,0.9368,0.8504,calves
female,169.5,64.3,24.0,94.4,71.6,85.4,17.3,26.2,36.1,67.3,34.9,89.7,1.1927,1.3184,1.2528,0.9399,0.5186,0.4792,1.5145,arms
male,178.1,67.9,27.9,117.9,88.3,117.9,28.650000000000002,32.6,38.2,56.3,37.9,91.9,1.3352,1.3352,1.0408,0.6376,0.6732,0.75,1.1379,arms
female,168.9,49.1,32.5,89.3,83.3,102.6,27.5,20.0,34.9,50.7,33.3,100.0,1.2317,1.072,1.2005,0.6086,0.6568,0.788,0.7273,shoulders
female,154.8,62.5,30.8,87.4,72.2,105.1,27.6,20.4,32.9,62.0,31.3,97.0,1.4557,1.2105,1.3435,0.8587,0.5048,0.8389,0.7391,arms
male,184.6,80.7,12.9,100.7,73.2,109.7,28.2,24.8,42.1,53.6,37.9,90.1,1.4986,1.3757,1.2309,0.7322,0.7071,0.6698,0.8794,arms
male,170.8,82.5,18.3,118.6,89.7,113.3,36.7,34.4,33.1,52.9,23.805,93.1,1.2631,1.3222,1.0379,0.5897,0.45,1.1088,0.9373,calves
female,157.2,80.4,17.5,88.6,82.4,103.8,24.6,19.6,32.4,51.5,35.7,88.8,1.2597,1.0752,1.0777,0.625,0.6932,0.7593,0.7967,arms
female,165.7,67.1,34.6,86.9,68.2,100.2,27.3,22.8,30.9,43.9,33.0,102.9,1.4692,1.2742,1.5088,0.6437,0.7517,0.8835,0.8352,legs
female,172.2,86.5,30.6,99.7,80.1,116.0,34.5,25.4,34.8,54.8,34.9,97.3,1.4482,1.2447,1.2147,0.6841,0.6369,0.9914,0.7362,chest
female,160.7,62.9,11.9,102.1,72.2,107.2,33.1,23.8,36.6,48.5,43.4,108.7,1.4848,1.4141,1.5055,0.6717,0.8948,0.9044,0.719,legs
male,188.0,65.6,16.3,111.6,67.2,122.5,36.1,33.9,33.3,67.7,33.8,92.9,1.8229,1.6607,1.3824,1.0074,0.4993,1.0841,0.9391,calves
male,170.4,87.6,11.3,105.9,78.0,108.3,31.9,29.0,37.2,58.2,38.8,103.6,1.3885,1.3577,1.3282,0.7462,0.6667,0.8575,0.9091,arms
male,170.7,83.1,20.8,88.3,76.0,112.2,33.2,25.7,40.1,48.4,21.78,93.7,1.4763,1.1618,1.2329,0.6368,0.45,0.8279,0.7741,calves
female,156.3,58.3,23.6,87.2,75.2,99.4,33.2,24.2,31.0,56.6,35.4,109.7,1.3218,1.1596,1.4588,0.7527,0.6254,1.071,0.7289,shoulders
male,183.4,82.6,26.9,110.3,85.8,115.9,36.0,27.5,43.0,58.5,34.4,92.8,1.3508,1.2855,1.0816,0.6818,0.588,0.8372,0.7639,shoulders
male,181.9,70.5,24.6,89.7,85.1,127.2,25.4,34.1,36.7,58.8,38.3,101.1,1.4947,1.0541,1.188,0.691,0.6514,0.6921,1.3425,arms
female,171.0,70.7,36.6,93.7,89.7,110.3,21.7,29.5,31.6,65.0,35.1,108.5,1.2297,1.0446,1.2096,0.7246,0.54,0.6867,1.3594,arms
male,182.4,78.5,27.5,103.5,92.4,100.7,33.7,29.2,38.7,63.8,34.5,96.3,1.0898,1.1201,1.0422,0.6905,0.5408,0.8708,0.8665,shoulders
male,162.0,90.3,16.0,92.7,87.0,127.8,38.2,27.6,40.6,63.2,35.7,91.1,1.469,1.0655,1.0471,0.7264,0.5649,0.9409,0.7225,chest
female,170.0,64.5,19.7,78.2,80.7,100.2,29.2,26.1,29.7,55.7,25.065,103.0,1.2416,0.969,1.2763,0.6902,0.45,0.9832,0.8938,chest
male,168.7,90.0,24.2,98.5,82.8,121.3,35.4,29.7,39.7,52.1,40.0,104.2,1.465,1.1896,1.2585,0.6292,0.7678,0.8917,0.839,legs
female,156.0,63.7,27.2,82.0,71.1,94.1,30.1,23.4,28.9,58.1,34.8,104.1,1.3235,1.1533,1.4641,0.8172,0.599,1.0415,0.7774,shoulders
male,172.4,71.2,14.8,100.2,85.3,116.5,32.3,26.9,45.5,53.4,33.8,119.1,1.3658,1.1747,1.3962,0.626,0.633,0.7099,0.8328,arms
male,168.3,93.8,12.5,107.3,82.1,114.5,30.674999999999997,29.7,40.9,60.6,34.2,100.3,1.3946,1.3069,1.2217,0.7381,0.5644,0.75,0.9682,arms
female,165.8,84.8,31.1,91.5,76.0,105.0,23.6,22.8,33.6,53.5,36.2,100.2,1.3816,1.2039,1.3184,0.7039,0.6766,0.7024,0.9661,arms
female,169.0,66.8,17.8,102.5,72.9,103.4,26.8,21.8,36.9,64.3,36.6,99.1,1.4184,1.406,1.3594,0.882,0.5692,0.7263,0.8134,arms
male,178.5,79.3,20.0,96.5,86.3,119.6,36.4,26.1,40.1,52.6,23.67,92.3,1.3859,1.1182,1.0695,0.6095,0.45,0.9077,0.717,calves
male,185.1,68.4,13.8,110.0,78.9,116.5,30.0,30.5,40.5,62.4,38.2,96.5,1.4766,1.3942,1.2231,0.7909,0.6122,0.7407,1.0167,arms
male,172.3,100.1,22.6,94.5,84.4,115.6,29.5,28.5,36.8,52.3,30.1,85.1,1.3697,1.1197,1.0083,0.6197,0.5755,0.8016,0.9661,chest
male,177.4,69.7,21.9,99.5,89.2,116.5,30.9,28.3,34.2,61.2,32.3,102.4,1.3061,1.1155,1.148,0.6861,0.5278,0.9035,0.9159,chest
male,185.4,66.3,13.9,103.0,94.5,131.3,34.2,33.5,37.1,64.6,32.2,98.9,1.3894,1.0899,1.0466,0.6836,0.4985,0.9218,0.9795,chest
male,170.1,88.5,10.1,103.4,92.2,114.0,30.1,26.6,35.1,57.4,36.4,93.9,1.2364,1.1215,1.0184,0.6226,0.6341,0.8575,0.8837,shoulders
female,160.7,80.3,19.8,90.5,83.5,111.9,26.5,24.4,34.1,52.8,37.2,114.9,1.3401,1.0838,1.376,0.6323,0.7045,0.7771,0.9208,chest
female,168.4,72.4,17.2,93.2,65.9,99.9,35.6,22.4,31.1,62.9,28.305,96.4,1.5159,1.4143,1.4628,0.9545,0.45,1.1447,0.6292,calves
male,178.3,60.1,21.3,96.8,97.9,113.2,26.549999999999997,33.3,35.4,56.8,37.6,90.0,1.1563,0.9888,0.9193,0.5802,0.662,0.75,1.2542,chest
female,163.7,62.3,26.3,90.5,75.3,99.8,26.1,22.7,32.9,53.4,36.1,85.5,1.3254,1.2019,1.1355,0.7092,0.676,0.7933,0.8697,arms
male,179.0,71.8,16.3,93.2,98.7,118.2,34.7,26.6,38.0,50.7,35.3,89.4,1.1976,0.9443,0.9058,0.5137,0.6963,0.9132,0.7666,chest
male,160.1,66.2,26.8,106.6,95.9,129.1,36.7,26.6,34.9,64.9,36.3,113.5,1.3462,1.1116,1.1835,0.6767,0.5593,1.0516,0.7248,chest
male,191.8,79.8,26.0,113.6,74.8,114.1,29.9,24.3,40.0,56.8,36.2,99.9,1.5254,1.5187,1.3356,0.7594,0.6373,0.7475,0.8127,arms
female,172.7,61.2,29.2,94.3,85.0,103.3,20.6,23.1,33.5,49.8,35.5,97.1,1.2153,1.1094,1.1424,0.5859,0.7129,0.6149,1.1214,arms
male,182.7,74.1,15.6,96.3,95.1,117.7,34.3,26.7,39.4,66.1,29.744999999999997,100.8,1.2376,1.0126,1.0599,0.6951,0.45,0.8706,0.7784,chest
female,156.7,55.4,24.8,84.9,65.5,90.9,23.3,22.4,32.8,51.2,35.3,96.5,1.3878,1.2962,1.4733,0.7817,0.6895,0.7104,0.9614,arms
male,176.9,91.7,19.2,88.8,83.2,108.1,33.6,25.8,39.1,49.9,36.1,100.0,1.2993,1.0673,1.2019,0.5998,0.7234,0.8593,0.7679,chest
male,172.7,82.2,19.1,112.4,70.7,110.7,45.2,27.2,32.3,54.5,24.9,97.7,1.5658,1.5898,1.3819,0.7709,0.4569,1.3994,0.6018,forearms
female,159.5,59.8,31.5,77.7,63.4,102.4,25.4,22.3,29.8,57.3,34.5,104.4,1.6151,1.2256,1.6467,0.9038,0.6021,0.8523,0.878,arms
male,179.4,61.8,21.0,97.4,82.5,126.4,31.724999999999998,32.1,42.3,62.5,32.1,80.7,1.5321,1.1806,0.9782,0.7576,0.5136,0.75,1.0118,arms
female,165.7,56.8,33.0,84.0,70.6,107.7,24.1,22.7,35.7,57.3,39.4,109.1,1.5255,1.1898,1.5453,0.8116,0.6876,0.6751,0.9419,arms
female,151.0,52.8,30.6,79.1,71.4,106.4,33.1,21.6,31.4,55.7,25.065,98.8,1.4902,1.1078,1.3838,0.7801,0.45,1.0541,0.6526,calves
female,160.2,66.3,28.7,87.2,80.7,105.0,30.8,23.5,33.9,52.2,32.8,109.8,1.3011,1.0805,1.3606,0.6468,0.6284,0.9086,0.763,chest
male,170.8,84.5,5.0,95.4,92.6,117.0,34.5,19.0,36.8,60.0,37.9,102.7,1.2635,1.0302,1.1091,0.6479,0.6317,0.9375,0.5507,forearms
male,176.8,63.4,16.8,89.9,67.4,109.3,40.0,27.2,38.7,54.9,28.8,102.6,1.6217,1.3338,1.5223,0.8145,0.5246,1.0336,0.68,forearms
female,161.7,64.4,27.4,84.9,59.3,98.4,25.4,21.1,35.4,48.7,36.1,101.3,1.6594,1.4317,1.7083,0.8212,0.7413,0.7175,0.8307,arms
male,177.1,93.1,17.0,103.5,70.5,96.9,35.5,29.3,39.4,54.9,42.0,92.8,1.3745,1.4681,1.3163,0.7787,0.765,0.901,0.8254,shoulders
female,168.6,83.9,24.1,85.4,62.0,114.9,29.5,24.1,40.8,58.0,30.4,98.4,1.8532,1.3774,1.5871,0.9355,0.5241,0.723,0.8169,arms
male,175.2,76.4,14.5,88.9,98.3,120.4,33.1,30.3,39.4,59.7,26.865000000000002,96.9,1.2248,0.9044,0.9858,0.6073,0.45,0.8401,0.9154,chest
male,183.3,84.3,16.7,112.2,79.7,121.1,35.7,26.2,35.6,55.9,34.0,85.8,1.5194,1.4078,1.0765,0.7014,0.6082,1.0028,0.7339,glutes
male,179.9,99.7,21.3,79.2,89.8,113.5,28.049999999999997,28.0,37.4,57.4,35.9,105.4,1.2639,0.882,1.1737,0.6392,0.6254,0.75,0.9982,chest
female,171.5,75.3,30.0,77.5,82.9,100.8,30.5,20.6,30.0,67.9,31.7,109.2,1.2159,0.9349,1.3172,0.8191,0.4669,1.0167,0.6754,chest
male,175.1,81.4,10.2,99.9,74.3,114.8,37.7,28.8,33.6,63.1,36.0,92.2,1.5451,1.3445,1.2409,0.8493,0.5705,1.122,0.7639,calves
male,176.8,65.7,29.1,99.9,83.3,114.8,38.7,26.4,33.4,53.9,41.3,101.8,1.3782,1.1993,1.2221,0.6471,0.7662,1.1587,0.6822,shoulders
male,187.6,92.5,16.4,98.7,87.0,111.3,34.0,28.9,32.9,56.9,34.8,103.2,1.2793,1.1345,1.1862,0.654,0.6116,1.0334,0.85,shoulders
male,175.3,75.3,23.8,99.7,100.2,123.3,32.4,28.7,36.9,63.2,28.44,90.2,1.2305,0.995,0.9002,0.6307,0.45,0.878,0.8858,chest
female,172.4,40.8,34.2,89.0,58.9,83.0,22.6,23.0,32.8,59.8,33.1,91.1,1.4092,1.511,1.5467,1.0153,0.5535,0.689,1.0177,arms
female,165.2,67.5,21.3,96.3,69.0,97.9,26.1,25.7,32.7,51.8,38.2,117.1,1.4188,1.3957,1.6971,0.7507,0.7375,0.7982,0.9847,arms
male,186.6,96.5,14.4,100.2,72.5,116.4,31.5,26.8,35.8,56.3,38.1,95.2,1.6055,1.3821,1.3131,0.7766,0.6767,0.8799,0.8508,arms
female,160.5,48.3,27.5,93.5,76.1,98.5,28.9,21.8,30.2,60.5,37.9,107.6,1.2943,1.2286,1.4139,0.795,0.6264,0.957,0.7543,shoulders
female,172.1,59.6,29.9,86.4,72.2,87.1,26.9,23.2,32.0,66.5,30.9,95.5,1.2064,1.1967,1.3227,0.9211,0.4647,0.8406,0.8625,shoulders
female,161.6,76.3,34.9,85.1,68.2,95.9,24.525000000000002,25.8,32.7,47.6,30.4,101.4,1.4062,1.2478,1.4868,0.6979,0.6387,0.75,1.052,arms
male,163.5,77.5,27.7,98.3,97.4,123.2,29.7,27.1,37.6,52.3,23.535,106.5,1.2649,1.0092,1.0934,0.537,0.45,0.7899,0.9125,legs
female,171.5,60.2,25.8,93.9,69.2,108.0,20.8,24.1,26.8,54.6,38.0,105.0,1.5607,1.3569,1.5173,0.789,0.696,0.7761,1.1587,arms
female,158.0,57.4,27.1,75.8,73.9,106.2,27.0,24.3,33.6,52.8,28.2,101.1,1.4371,1.0257,1.3681,0.7145,0.5341,0.8036,0.9,chest
female,161.5,70.3,34.5,89.7,78.4,93.9,28.9,22.9,36.1,52.8,34.2,108.5,1.1977,1.1441,1.3839,0.6735,0.6477,0.8006,0.7924,shoulders
male,170.2,117.7,11.5,99.5,87.1,120.1,33.2,27.4,37.3,51.3,44.6,94.5,1.3789,1.1424,1.085,0.589,0.8694,0.8901,0.8253,legs
male,175.7,77.0,15.3,87.6,82.6,114.7,38.7,24.4,36.3,52.6,41.8,89.9,1.3886,1.0605,1.0884,0.6368,0.7947,1.0661,0.6305,chest
female,170.8,63.4,17.7,80.5,80.9,95.2,29.4,23.3,33.9,58.8,31.7,92.2,1.1768,0.9951,1.1397,0.7268,0.5391,0.8673,0.7925,chest
male,173.6,43.5,21.9,91.7,88.2,129.1,34.1,31.0,38.5,67.5,30.375,95.9,1.4637,1.0397,1.0873,0.7653,0.45,0.8857,0.9091,chest
female,163.9,77.7,23.4,104.5,91.0,106.0,29.9,26.0,30.0,48.1,39.4,102.2,1.1648,1.1484,1.1231,0.5286,0.8191,0.9967,0.8696,legs
female,165.1,38.8,24.9,84.7,81.3,111.0,30.0,24.0,29.3,59.5,37.2,110.0,1.3653,1.0418,1.353,0.7319,0.6252,1.0239,0.8,chest
male,166.2,76.6,13.5,101.4,84.1,116.1,26.174999999999997,24.7,34.9,51.9,34.6,87.4,1.3805,1.2057,1.0392,0.6171,0.6667,0.75,0.9436,arms
male,176.8,71.0,23.2,99.5,93.6,116.4,33.9,26.3,38.0,62.3,34.4,99.6,1.2436,1.063,1.0641,0.6656,0.5522,0.8921,0.7758,chest
female,169.6,58.6,31.1,90.4,86.2,95.9,22.8,21.5,29.5,47.7,37.2,100.0,1.1125,1.0487,1.1601,0.5534,0.7799,0.7729,0.943,shoulders
male,175.3,73.6,27.9,94.1,72.1,124.4,33.1,34.1,36.4,63.1,40.3,92.4,1.7254,1.3051,1.2816,0.8752,0.6387,0.9093,1.0302,arms
male,183.2,90.0,9.5,91.0,61.2,122.8,33.0,27.5,32.9,51.4,23.13,91.3,2.0065,1.4869,1.4918,0.8399,0.45,1.003,0.8333,calves
female,168.5,90.0,25.9,97.8,67.4,92.3,26.8,19.0,33.0,51.3,28.2,113.9,1.3694,1.451,1.6899,0.7611,0.5497,0.8121,0.709,arms
male,166.5,94.6,13.6,108.7,77.4,113.7,35.4,29.8,40.3,57.5,38.1,101.2,1.469,1.4044,1.3075,0.7429,0.6626,0.8784,0.8418,arms
female,164.1,49.1,29.6,90.3,70.7,112.9,23.0,27.1,32.9,57.9,33.6,86.7,1.5969,1.2772,1.2263,0.819,0.5803,0.6991,1.1783,arms
male,180.3,91.5,16.8,82.5,70.1,134.4,29.6,32.3,35.2,56.9,38.5,90.3,1.9173,1.1769,1.2882,0.8117,0.6766,0.8409,1.0912,chest
female,165.5,70.1,24.4,94.6,86.6,103.1,34.1,21.5,34.9,58.9,31.3,101.7,1.1905,1.0924,1.1744,0.6801,0.5314,0.9771,0.6305,shoulders
male,172.0,87.0,18.9,99.4,83.4,117.3,32.5,28.4,36.1,73.9,30.4,91.9,1.4065,1.1918,1.1019,0.8861,0.4114,0.9003,0.8738,calves
male,192.3,63.5,20.6,102.0,87.0,127.9,38.9,26.6,38.6,46.8,21.06,90.4,1.4701,1.1724,1.0391,0.5379,0.45,1.0078,0.6838,legs
female,154.9,69.5,15.8,91.0,64.2,98.1,32.0,24.5,35.9,65.4,32.3,112.0,1.528,1.4174,1.7445,1.0187,0.4939,0.8914,0.7656,calves
male,183.2,75.1,12.4,104.9,92.5,125.3,34.9,28.4,39.6,59.8,38.2,97.4,1.3546,1.1341,1.053,0.6465,0.6388,0.8813,0.8138,chest
female,155.2,63.6,17.7,91.9,87.1,100.7,28.4,24.9,27.8,52.9,36.3,76.8,1.1561,1.0551,0.8817,0.6073,0.6862,1.0216,0.8768,glutes
female,171.6,76.0,28.2,96.2,75.7,107.9,26.9,23.3,31.4,63.6,40.3,111.0,1.4254,1.2708,1.4663,0.8402,0.6336,0.8567,0.8662,arms
male,171.3,99.9,21.3,102.6,78.3,121.4,29.7,29.9,42.1,67.8,38.8,86.3,1.5504,1.3103,1.1022,0.8659,0.5723,0.7055,1.0067,arms
female,177.8,55.4,25.6,99.9,78.9,121.4,25.4,20.5,36.1,48.8,34.3,99.5,1.5387,1.2662,1.2611,0.6185,0.7029,0.7036,0.8071,arms
female,168.7,70.0,23.6,98.5,106.2,108.8,28.3,19.8,31.4,54.7,24.615000000000002,99.9,1.0245,0.9275,0.9407,0.5151,0.45,0.9013,0.6996,shoulders
female,172.5,63.3,18.8,99.4,73.6,91.9,30.5,25.6,26.9,51.1,34.6,105.9,1.2486,1.3505,1.4389,0.6943,0.6771,1.1338,0.8393,shoulders
female,160.0,73.0,23.2,93.8,65.1,94.5,30.6,23.6,35.3,52.8,32.2,110.9,1.4516,1.4409,1.7035,0.8111,0.6098,0.8669,0.7712,arms
female,172.5,79.5,31.2,85.2,67.5,102.5,23.5,20.6,34.6,59.9,31.3,105.4,1.5185,1.2622,1.5615,0.8874,0.5225,0.6792,0.8766,arms
male,188.6,90.0,24.4,103.8,92.8,107.7,27.974999999999998,27.9,37.3,60.7,38.5,98.7,1.1606,1.1185,1.0636,0.6541,0.6343,0.75,0.9973,shoulders
male,172.8,97.4,20.1,91.9,82.3,104.1,34.1,27.4,36.3,67.5,31.4,100.9,1.2649,1.1166,1.226,0.8202,0.4652,0.9394,0.8035,calves
male,185.5,81.6,11.2,89.1,80.3,112.5,31.1,27.0,37.7,60.9,31.0,91.2,1.401,1.1096,1.1357,0.7584,0.509,0.8249,0.8682,chest
male,176.6,107.7,19.4,87.1,87.8,122.4,33.5,24.4,43.3,51.6,23.220000000000002,97.4,1.3941,0.992,1.1093,0.5877,0.45,0.7737,0.7284,chest
male,189.9,89.9,14.6,108.8,78.3,119.3,28.8,24.9,38.2,60.2,29.2,99.5,1.5236,1.3895,1.2708,0.7688,0.485,0.7539,0.8646,arms
male,187.0,77.1,11.3,100.6,75.8,128.2,34.0,27.5,39.8,52.0,30.8,98.9,1.6913,1.3272,1.3047,0.686,0.5923,0.8543,0.8088,arms
male,170.3,93.7,21.2,90.0,78.4,110.8,41.1,30.7,36.7,61.5,30.6,91.3,1.4133,1.148,1.1645,0.7844,0.4976,1.1199,0.747,chest
female,167.7,63.9,27.5,90.5,72.7,101.9,26.5,23.6,34.0,57.2,30.9,92.0,1.4017,1.2448,1.2655,0.7868,0.5402,0.7794,0.8906,arms
male,188.3,84.1,15.5,101.8,73.8,128.5,34.7,26.0,37.5,54.8,41.2,94.6,1.7412,1.3794,1.2818,0.7425,0.7518,0.9253,0.7493,arms
male,182.0,71.6,19.2,102.2,70.0,120.0,33.8,28.4,38.1,59.6,41.3,87.7,1.7143,1.46,1.2529,0.8514,0.693,0.8871,0.8402,arms
male,182.7,88.7,20.8,122.0,89.5,127.0,32.8,25.0,37.1,62.3,28.035,98.8,1.419,1.3631,1.1039,0.6961,0.45,0.8841,0.7622,calves
male,175.4,79.5,22.3,106.7,74.9,124.1,28.049999999999997,29.4,37.4,67.4,34.3,97.3,1.6569,1.4246,1.2991,0.8999,0.5089,0.75,1.0481,arms
male,171.9,81.0,16.4,95.9,80.0,126.9,31.6,29.7,38.9,49.6,38.1,86.1,1.5863,1.1987,1.0762,0.62,0.7681,0.8123,0.9399,arms
female,162.0,65.1,18.2,90.9,81.4,98.4,25.9,24.1,34.2,41.4,42.1,104.2,1.2088,1.1167,1.2801,0.5086,1.0169,0.7573,0.9305,legs
male,177.0,56.0,22.0,95.5,88.9,116.2,35.0,25.7,40.6,50.9,45.0,111.7,1.3071,1.0742,1.2565,0.5726,0.8841,0.8621,0.7343,legs
male,186.9,80.8,25.0,99.2,70.0,130.0,38.5,27.9,34.3,54.5,28.7,102.6,1.8571,1.4171,1.4657,0.7786,0.5266,1.1224,0.7247,calves
male,180.0,70.2,9.4,101.9,81.0,124.7,28.9,25.7,30.8,44.9,43.2,110.6,1.5395,1.258,1.3654,0.5543,0.9621,0.9383,0.8893,legs
male,172.2,77.8,23.2,95.9,86.1,117.9,31.7,26.4,38.9,52.1,23.445,92.7,1.3693,1.1138,1.0767,0.6051,0.45,0.8149,0.8328,calves
female,173.3,63.1,31.5,77.5,70.2,104.2,34.7,18.1,32.8,64.7,32.3,98.3,1.4843,1.104,1.4003,0.9217,0.4992,1.0579,0.5216,forearms
